Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
57	0.0046	0.0098	0.4686	Typhaang_comp41104_c0_seq1	Typhaang_comp41104_c0_seq2
58	0.0000	0.0000	0.3940	Typhaang_comp41373_c0_seq1	Typhaang_comp41373_c0_seq2
59	0.1782	0.2304	0.7735	Typhaang_comp41403_c0_seq1	Typhaang_comp41403_c0_seq2
60	0.0000	0.0000	0.4018	Typhaang_comp41424_c0_seq1	Typhaang_comp41424_c0_seq2
61	0.0000	0.0000	0.4021	Typhaang_comp41526_c0_seq1	Typhaang_comp41526_c0_seq2
62	0.0000	0.0000	0.5220	Typhaang_comp42432_c0_seq1	Typhaang_comp42432_c0_seq2
63	0.0000	0.0000	0.4019	Typhaang_comp42478_c0_seq1	Typhaang_comp42478_c0_seq2
64	0.0164	0.2272	0.0724	Typhaang_comp42576_c0_seq1	Typhaang_comp42576_c0_seq2
65	0.0043	0.0086	0.5035	Typhaang_comp42855_c0_seq1	Typhaang_comp42855_c0_seq2
66	0.0051	0.0114	0.4519	Typhaang_comp42915_c0_seq1	Typhaang_comp42915_c0_seq2
67	0.0065	0.8688	0.0075	Typhaang_comp42965_c0_seq1	Typhaang_comp42965_c0_seq2
68	0.0000	0.0100	0.0010	Typhaang_comp42974_c0_seq1	Typhaang_comp42974_c0_seq2
69	0.0707	0.6489	0.1089	Typhaang_comp43024_c0_seq1	Typhaang_comp43024_c0_seq2
70	0.0335	0.2297	0.1458	Typhaang_comp43042_c0_seq1	Typhaang_comp43042_c0_seq2
71	0.0630	0.4751	0.1326	Typhaang_comp43042_c0_seq1	Typhaang_comp43042_c0_seq3
72	0.1077	1.1933	0.0903	Typhaang_comp43042_c0_seq2	Typhaang_comp43042_c0_seq3
73	0.0000	0.0000	0.4306	Typhaang_comp43092_c1_seq1	Typhaang_comp43092_c1_seq2
74	0.0000	0.0000	0.4016	Typhaang_comp43118_c0_seq1	Typhaang_comp43118_c0_seq2
75	0.0111	0.7258	0.0153	Typhaang_comp43147_c0_seq1	Typhaang_comp43147_c0_seq2
76	0.0553	0.4490	0.1233	Typhaang_comp43164_c0_seq2	Typhaang_comp43164_c0_seq4
77	0.0583	0.4725	0.1233	Typhaang_comp43164_c0_seq2	Typhaang_comp43164_c0_seq3
78	0.1209	0.7172	0.1685	Typhaang_comp43226_c0_seq1	Typhaang_comp43226_c0_seq3
79	0.0918	0.6132	0.1496	Typhaang_comp43226_c0_seq2	Typhaang_comp43226_c0_seq3
80	0.1532	1.2183	0.1257	Typhaang_comp43243_c0_seq2	Typhaang_comp43243_c0_seq3
81	0.0712	0.3221	0.2209	Typhaang_comp43251_c0_seq1	Typhaang_comp43251_c0_seq2
82	0.0148	0.3465	0.0427	Typhaang_comp43257_c0_seq1	Typhaang_comp43257_c0_seq2
83	0.0000	0.0000	0.4010	Typhaang_comp43294_c0_seq1	Typhaang_comp43294_c0_seq2
84	0.0319	0.8349	0.0382	Typhaang_comp43370_c0_seq1	Typhaang_comp43370_c0_seq2
85	0.0102	0.0256	0.4001	Typhaang_comp43417_c0_seq1	Typhaang_comp43417_c0_seq3
86	0.0102	0.0256	0.4001	Typhaang_comp43417_c0_seq2	Typhaang_comp43417_c0_seq3
87	0.1334	0.6786	0.1966	Typhaang_comp43424_c0_seq1	Typhaang_comp43424_c0_seq2
88	0.0000	0.0000	0.0010	Typhaang_comp43466_c0_seq1	Typhaang_comp43466_c0_seq2
89	0.0000	0.0000	0.0010	Typhaang_comp43466_c0_seq2	Typhaang_comp43466_c0_seq3
90	0.0836	0.0862	0.9693	Typhaang_comp43486_c1_seq1	Typhaang_comp43486_c1_seq2
91	0.0122	1.1088	0.0110	Typhaang_comp43504_c0_seq1	Typhaang_comp43504_c0_seq2
92	0.0058	0.0106	0.5524	Typhaang_comp43519_c0_seq1	Typhaang_comp43519_c0_seq2
93	0.0042	0.0000	99.0000	Typhaang_comp43609_c0_seq1	Typhaang_comp43609_c0_seq2
94	0.0025	0.0000	99.0000	Typhaang_comp43616_c0_seq1	Typhaang_comp43616_c0_seq2
95	0.0000	0.0000	0.4019	Typhaang_comp43619_c0_seq1	Typhaang_comp43619_c0_seq2
96	0.0000	0.0076	0.0010	Typhaang_comp43620_c0_seq2	Typhaang_comp43620_c0_seq4
97	0.0000	0.0076	0.0010	Typhaang_comp43620_c0_seq2	Typhaang_comp43620_c0_seq3
98	0.0085	0.0047	1.8230	Typhaang_comp43647_c0_seq1	Typhaang_comp43647_c0_seq2
99	0.0209	0.2155	0.0972	Typhaang_comp43657_c1_seq1	Typhaang_comp43657_c1_seq5
100	0.0351	0.5883	0.0596	Typhaang_comp43657_c1_seq1	Typhaang_comp43657_c1_seq2
101	0.0511	1.2353	0.0414	Typhaang_comp43657_c1_seq2	Typhaang_comp43657_c1_seq5
102	0.0000	0.0000	0.4019	Typhaang_comp43666_c0_seq1	Typhaang_comp43666_c0_seq4
103	0.0000	0.0000	0.4019	Typhaang_comp43666_c0_seq1	Typhaang_comp43666_c0_seq3
104	0.0000	0.0000	0.4019	Typhaang_comp43666_c0_seq2	Typhaang_comp43666_c0_seq4
105	0.0000	0.0000	0.4019	Typhaang_comp43666_c0_seq2	Typhaang_comp43666_c0_seq3
106	0.0242	0.0436	0.5559	Typhaang_comp43689_c1_seq1	Typhaang_comp43689_c1_seq2
107	0.0497	0.1047	0.4749	Typhaang_comp43689_c1_seq1	Typhaang_comp43689_c1_seq3
108	0.0535	0.4458	0.1200	Typhaang_comp43726_c1_seq1	Typhaang_comp43726_c1_seq3
109	0.0535	0.4458	0.1200	Typhaang_comp43726_c1_seq2	Typhaang_comp43726_c1_seq3
110	0.0407	0.3810	0.1069	Typhaang_comp43750_c2_seq1	Typhaang_comp43750_c2_seq2
111	0.0026	0.0112	0.2302	Typhaang_comp43844_c0_seq1	Typhaang_comp43844_c0_seq2
112	0.0520	1.4010	0.0371	Typhaang_comp43851_c0_seq1	Typhaang_comp43851_c0_seq3
113	0.0520	1.4010	0.0371	Typhaang_comp43851_c0_seq2	Typhaang_comp43851_c0_seq3
114	0.0000	0.0000	0.2939	Typhaang_comp43861_c0_seq1	Typhaang_comp43861_c0_seq2
115	0.1398	0.7716	0.1812	Typhaang_comp43922_c0_seq1	Typhaang_comp43922_c0_seq5
116	0.1398	0.7716	0.1812	Typhaang_comp43922_c0_seq1	Typhaang_comp43922_c0_seq4
117	0.0969	2.4367	0.0398	Typhaang_comp43941_c0_seq1	Typhaang_comp43941_c0_seq2
118	0.0623	0.7735	0.0806	Typhaang_comp43963_c0_seq1	Typhaang_comp43963_c0_seq2
119	0.0031	0.0059	0.5262	Typhaang_comp43979_c0_seq1	Typhaang_comp43979_c0_seq4
120	0.0031	0.0059	0.5262	Typhaang_comp43979_c0_seq1	Typhaang_comp43979_c0_seq3
121	0.0031	0.0059	0.5262	Typhaang_comp43979_c0_seq2	Typhaang_comp43979_c0_seq4
122	0.0031	0.0059	0.5262	Typhaang_comp43979_c0_seq2	Typhaang_comp43979_c0_seq3
123	0.0193	0.2118	0.0913	Typhaang_comp43985_c0_seq1	Typhaang_comp43985_c0_seq2
124	0.0846	0.3883	0.2178	Typhaang_comp44063_c0_seq1	Typhaang_comp44063_c0_seq2
125	0.0000	0.0000	0.2237	Typhaang_comp44064_c2_seq1	Typhaang_comp44064_c2_seq2
126	0.0038	0.0045	0.8527	Typhaang_comp44070_c0_seq1	Typhaang_comp44070_c0_seq2
127	0.0047	0.0141	0.3349	Typhaang_comp44081_c0_seq1	Typhaang_comp44081_c0_seq2
128	0.1479	0.8204	0.1803	Typhaang_comp44093_c0_seq1	Typhaang_comp44093_c0_seq2
129	0.1479	0.8204	0.1803	Typhaang_comp44093_c0_seq2	Typhaang_comp44093_c0_seq3
130	0.0199	0.0199	0.9997	Typhaang_comp44100_c0_seq1	Typhaang_comp44100_c0_seq2
131	0.0248	0.3425	0.0723	Typhaang_comp44109_c0_seq1	Typhaang_comp44109_c0_seq2
132	0.0000	0.0000	0.4024	Typhaang_comp44122_c0_seq1	Typhaang_comp44122_c0_seq2
133	0.0371	0.3511	0.1055	Typhaang_comp44178_c0_seq1	Typhaang_comp44178_c0_seq2
134	0.0741	0.4308	0.1720	Typhaang_comp44185_c0_seq1	Typhaang_comp44185_c0_seq2
135	0.0222	0.2771	0.0803	Typhaang_comp44233_c0_seq1	Typhaang_comp44233_c0_seq2
136	0.0492	0.3194	0.1541	Typhaang_comp44239_c0_seq1	Typhaang_comp44239_c0_seq2
137	0.0458	0.7301	0.0628	Typhaang_comp44243_c0_seq1	Typhaang_comp44243_c0_seq2
138	0.0412	0.5688	0.0724	Typhaang_comp44256_c0_seq1	Typhaang_comp44256_c0_seq2
139	0.0016	0.0000	99.0000	Typhaang_comp44270_c0_seq1	Typhaang_comp44270_c0_seq3
140	0.0393	0.5620	0.0699	Typhaang_comp44270_c0_seq1	Typhaang_comp44270_c0_seq4
141	0.0422	0.5568	0.0757	Typhaang_comp44270_c0_seq3	Typhaang_comp44270_c0_seq4
142	0.0003	0.3139	0.0010	Typhaang_comp44278_c0_seq1	Typhaang_comp44278_c0_seq2
143	0.0075	0.0041	1.8410	Typhaang_comp44299_c0_seq1	Typhaang_comp44299_c0_seq2
144	0.0263	0.9771	0.0270	Typhaang_comp44306_c0_seq1	Typhaang_comp44306_c0_seq2
145	0.0923	1.0543	0.0876	Typhaang_comp44320_c0_seq1	Typhaang_comp44320_c0_seq3
146	0.0923	1.0543	0.0876	Typhaang_comp44320_c0_seq2	Typhaang_comp44320_c0_seq3
147	0.0366	0.2214	0.1654	Typhaang_comp44327_c0_seq1	Typhaang_comp44327_c0_seq2
148	0.0712	0.3840	0.1854	Typhaang_comp44327_c0_seq1	Typhaang_comp44327_c0_seq5
149	0.1023	0.8763	0.1167	Typhaang_comp44327_c0_seq1	Typhaang_comp44327_c0_seq3
150	0.0712	0.3840	0.1854	Typhaang_comp44327_c0_seq2	Typhaang_comp44327_c0_seq4
151	0.1023	0.8763	0.1167	Typhaang_comp44327_c0_seq2	Typhaang_comp44327_c0_seq3
152	0.1063	0.8806	0.1208	Typhaang_comp44327_c0_seq3	Typhaang_comp44327_c0_seq5
153	0.1063	0.8806	0.1208	Typhaang_comp44327_c0_seq3	Typhaang_comp44327_c0_seq4
154	0.0623	0.3725	0.1672	Typhaang_comp44327_c0_seq4	Typhaang_comp44327_c0_seq5
155	0.0584	0.2787	0.2095	Typhaang_comp44390_c0_seq1	Typhaang_comp44390_c0_seq2
156	0.0822	1.0594	0.0776	Typhaang_comp44399_c0_seq1	Typhaang_comp44399_c0_seq2
157	0.0194	0.0051	3.7833	Typhaang_comp44433_c0_seq1	Typhaang_comp44433_c0_seq2
158	0.0025	0.3917	0.0064	Typhaang_comp44454_c0_seq1	Typhaang_comp44454_c0_seq2
159	0.0201	0.0097	2.0674	Typhaang_comp44459_c0_seq1	Typhaang_comp44459_c0_seq2
160	0.0217	0.0105	2.0702	Typhaang_comp44459_c0_seq1	Typhaang_comp44459_c0_seq4
161	0.0217	0.0105	2.0702	Typhaang_comp44459_c0_seq2	Typhaang_comp44459_c0_seq3
162	0.0217	0.0105	2.0702	Typhaang_comp44459_c0_seq3	Typhaang_comp44459_c0_seq4
163	0.0611	0.7385	0.0827	Typhaang_comp44472_c1_seq1	Typhaang_comp44472_c1_seq2
164	0.0000	0.0000	0.0010	Typhaang_comp44499_c0_seq1	Typhaang_comp44499_c0_seq2
165	0.0457	0.2314	0.1975	Typhaang_comp44520_c0_seq1	Typhaang_comp44520_c0_seq2
166	0.0000	0.0000	0.0010	Typhaang_comp44522_c0_seq1	Typhaang_comp44522_c0_seq2
167	0.0000	0.0070	0.0010	Typhaang_comp44531_c0_seq1	Typhaang_comp44531_c0_seq2
168	0.1103	0.7045	0.1565	Typhaang_comp44536_c0_seq1	Typhaang_comp44536_c0_seq2
169	0.0303	1.2925	0.0235	Typhaang_comp44540_c0_seq1	Typhaang_comp44540_c0_seq2
170	0.0067	0.0131	0.5156	Typhaang_comp44659_c1_seq1	Typhaang_comp44659_c1_seq2
171	0.0559	0.0548	1.0198	Typhaang_comp44659_c1_seq2	Typhaang_comp44659_c1_seq3
172	0.0047	0.0089	0.5257	Typhaang_comp44671_c1_seq1	Typhaang_comp44671_c1_seq2
173	0.0000	0.0000	0.0781	Typhaang_comp44690_c0_seq1	Typhaang_comp44690_c0_seq2
174	0.0000	0.0000	0.3983	Typhaang_comp44754_c0_seq1	Typhaang_comp44754_c0_seq2
175	0.0164	0.8049	0.0204	Typhaang_comp44795_c0_seq1	Typhaang_comp44795_c0_seq2
176	0.0252	0.6867	0.0367	Typhaang_comp44795_c0_seq2	Typhaang_comp44795_c0_seq9
177	0.0292	0.5227	0.0558	Typhaang_comp44814_c0_seq1	Typhaang_comp44814_c0_seq2
178	0.0000	0.0000	0.0010	Typhaang_comp44851_c0_seq1	Typhaang_comp44851_c0_seq2
179	0.0457	0.1341	0.3411	Typhaang_comp44861_c0_seq1	Typhaang_comp44861_c0_seq2
180	0.0971	1.4384	0.0675	Typhaang_comp44869_c0_seq1	Typhaang_comp44869_c0_seq2
181	0.0000	0.0000	0.4020	Typhaang_comp44978_c0_seq1	Typhaang_comp44978_c0_seq2
182	0.0000	0.0000	0.0010	Typhaang_comp44978_c0_seq1	Typhaang_comp44978_c0_seq3
183	0.0337	0.0337	1.0018	Typhaang_comp44978_c0_seq2	Typhaang_comp44978_c0_seq3
184	0.0000	0.0000	0.4018	Typhaang_comp44985_c0_seq1	Typhaang_comp44985_c0_seq2
185	0.0000	0.0031	0.0010	Typhaang_comp44992_c0_seq1	Typhaang_comp44992_c0_seq2
186	0.0149	0.0267	0.5596	Typhaang_comp44992_c0_seq1	Typhaang_comp44992_c0_seq4
187	0.0149	0.0267	0.5596	Typhaang_comp44992_c0_seq2	Typhaang_comp44992_c0_seq3
188	0.0000	0.0057	0.0010	Typhaang_comp44992_c0_seq3	Typhaang_comp44992_c0_seq4
189	0.0000	0.0000	0.4019	Typhaang_comp44993_c0_seq1	Typhaang_comp44993_c0_seq2
190	0.0000	0.0000	0.4019	Typhaang_comp44993_c0_seq2	Typhaang_comp44993_c0_seq3
191	0.0008	0.0000	99.0000	Typhaang_comp44995_c0_seq1	Typhaang_comp44995_c0_seq2
192	0.0225	0.4302	0.0522	Typhaang_comp45008_c0_seq1	Typhaang_comp45008_c0_seq2
193	0.0387	1.8005	0.0215	Typhaang_comp45008_c0_seq1	Typhaang_comp45008_c0_seq3
194	0.0424	1.3241	0.0320	Typhaang_comp45008_c0_seq2	Typhaang_comp45008_c0_seq3
195	0.0573	1.3102	0.0438	Typhaang_comp45023_c0_seq1	Typhaang_comp45023_c0_seq2
196	0.0029	0.0000	99.0000	Typhaang_comp45028_c0_seq1	Typhaang_comp45028_c0_seq2
197	0.0275	0.2952	0.0933	Typhaang_comp45038_c0_seq1	Typhaang_comp45038_c0_seq2
198	0.0000	0.0000	99.0000	Typhaang_comp45073_c0_seq1	Typhaang_comp45073_c0_seq2
199	0.0013	0.0000	99.0000	Typhaang_comp45153_c0_seq1	Typhaang_comp45153_c0_seq2
200	0.0000	0.0061	0.0010	Typhaang_comp45155_c0_seq1	Typhaang_comp45155_c0_seq2
201	0.0000	0.0000	0.0010	Typhaang_comp45170_c0_seq1	Typhaang_comp45170_c0_seq4
202	0.0000	0.0000	0.4019	Typhaang_comp45170_c0_seq3	Typhaang_comp45170_c0_seq4
203	0.0613	0.1125	0.5451	Typhaang_comp45228_c0_seq1	Typhaang_comp45228_c0_seq2
204	0.0000	0.0000	0.4019	Typhaang_comp45243_c1_seq1	Typhaang_comp45243_c1_seq2
205	0.0000	0.0000	0.2354	Typhaang_comp45243_c1_seq1	Typhaang_comp45243_c1_seq4
206	0.0000	0.0000	0.2354	Typhaang_comp45243_c1_seq2	Typhaang_comp45243_c1_seq3
207	0.0000	0.0000	0.2354	Typhaang_comp45243_c1_seq3	Typhaang_comp45243_c1_seq4
208	0.0006	0.6118	0.0010	Typhaang_comp45291_c0_seq1	Typhaang_comp45291_c0_seq2
209	0.0008	0.8335	0.0010	Typhaang_comp45297_c0_seq1	Typhaang_comp45297_c0_seq2
210	0.1285	1.4470	0.0888	Typhaang_comp45307_c0_seq1	Typhaang_comp45307_c0_seq2
211	0.0000	0.0000	0.3254	Typhaang_comp45313_c0_seq1	Typhaang_comp45313_c0_seq2
212	0.0000	0.0000	0.4021	Typhaang_comp45342_c2_seq1	Typhaang_comp45342_c2_seq6
213	0.0000	0.0000	0.4021	Typhaang_comp45342_c2_seq1	Typhaang_comp45342_c2_seq4
214	0.0000	0.0000	0.4021	Typhaang_comp45342_c2_seq1	Typhaang_comp45342_c2_seq2
215	0.0000	0.0000	0.4021	Typhaang_comp45342_c2_seq2	Typhaang_comp45342_c2_seq5
216	0.0000	0.0000	0.4021	Typhaang_comp45342_c2_seq4	Typhaang_comp45342_c2_seq5
217	0.0000	0.0000	0.4021	Typhaang_comp45342_c2_seq5	Typhaang_comp45342_c2_seq6
218	0.0000	0.0000	0.3805	Typhaang_comp45368_c0_seq1	Typhaang_comp45368_c0_seq2
219	0.0000	0.0000	0.4019	Typhaang_comp45377_c0_seq1	Typhaang_comp45377_c0_seq4
220	0.0000	0.0000	0.4019	Typhaang_comp45377_c0_seq1	Typhaang_comp45377_c0_seq3
221	0.0000	0.0000	0.4019	Typhaang_comp45377_c0_seq2	Typhaang_comp45377_c0_seq4
222	0.0000	0.0000	0.4019	Typhaang_comp45377_c0_seq2	Typhaang_comp45377_c0_seq3
223	0.0000	0.0000	0.4018	Typhaang_comp45399_c0_seq1	Typhaang_comp45399_c0_seq2
224	0.0935	0.1719	0.5437	Typhaang_comp45401_c0_seq1	Typhaang_comp45401_c0_seq2
225	0.1628	0.4500	0.3618	Typhaang_comp45401_c0_seq1	Typhaang_comp45401_c0_seq3
226	0.0382	0.9306	0.0411	Typhaang_comp45439_c0_seq1	Typhaang_comp45439_c0_seq2
227	0.0029	0.8244	0.0036	Typhaang_comp45443_c0_seq1	Typhaang_comp45443_c0_seq2
228	0.2015	0.5969	0.3376	Typhaang_comp45454_c0_seq1	Typhaang_comp45454_c0_seq2
229	0.0562	0.6564	0.0857	Typhaang_comp45476_c0_seq1	Typhaang_comp45476_c0_seq2
230	0.0165	0.5383	0.0307	Typhaang_comp45484_c0_seq1	Typhaang_comp45484_c0_seq2
231	0.0207	0.0134	1.5421	Typhaang_comp45488_c0_seq1	Typhaang_comp45488_c0_seq4
232	0.0000	0.0000	0.4019	Typhaang_comp45488_c0_seq1	Typhaang_comp45488_c0_seq2
233	0.0000	0.0000	0.4019	Typhaang_comp45488_c0_seq2	Typhaang_comp45488_c0_seq5
234	0.0207	0.0134	1.5421	Typhaang_comp45488_c0_seq4	Typhaang_comp45488_c0_seq5
235	0.0000	0.0000	0.3983	Typhaang_comp45494_c2_seq1	Typhaang_comp45494_c2_seq2
236	0.0042	0.0000	99.0000	Typhaang_comp45574_c0_seq1	Typhaang_comp45574_c0_seq2
237	0.0075	0.1385	0.0544	Typhaang_comp45626_c0_seq1	Typhaang_comp45626_c0_seq2
238	0.0000	0.0032	0.0010	Typhaang_comp45663_c0_seq1	Typhaang_comp45663_c0_seq4
239	0.0099	0.0117	0.8478	Typhaang_comp45663_c0_seq2	Typhaang_comp45663_c0_seq4
240	0.0000	0.0032	0.0010	Typhaang_comp45663_c0_seq3	Typhaang_comp45663_c0_seq4
241	0.0011	0.0000	99.0000	Typhaang_comp45666_c0_seq1	Typhaang_comp45666_c0_seq2
242	0.0020	0.0000	99.0000	Typhaang_comp45671_c2_seq1	Typhaang_comp45671_c2_seq2
243	0.1220	1.2848	0.0949	Typhaang_comp45678_c0_seq1	Typhaang_comp45678_c0_seq3
244	0.1236	1.2804	0.0965	Typhaang_comp45678_c0_seq1	Typhaang_comp45678_c0_seq2
245	0.0011	0.0000	99.0000	Typhaang_comp45678_c0_seq2	Typhaang_comp45678_c0_seq3
246	0.0097	0.0473	0.2052	Typhaang_comp45688_c1_seq1	Typhaang_comp45688_c1_seq2
247	0.0153	0.6407	0.0239	Typhaang_comp45719_c1_seq1	Typhaang_comp45719_c1_seq2
248	0.1252	0.5445	0.2299	Typhaang_comp45735_c0_seq2	Typhaang_comp45735_c0_seq3
249	0.0137	0.6531	0.0209	Typhaang_comp45741_c0_seq1	Typhaang_comp45741_c0_seq2
250	0.0981	0.6101	0.1607	Typhaang_comp45748_c0_seq1	Typhaang_comp45748_c0_seq2
251	0.0981	0.6101	0.1607	Typhaang_comp45748_c0_seq2	Typhaang_comp45748_c0_seq3
252	0.0000	0.0000	0.4019	Typhaang_comp45756_c0_seq1	Typhaang_comp45756_c0_seq2
253	0.0467	0.3633	0.1287	Typhaang_comp45758_c0_seq1	Typhaang_comp45758_c0_seq4
254	0.0467	0.3633	0.1287	Typhaang_comp45758_c0_seq2	Typhaang_comp45758_c0_seq4
255	0.0044	0.0000	99.0000	Typhaang_comp45767_c0_seq1	Typhaang_comp45767_c0_seq2
256	0.0083	0.8431	0.0099	Typhaang_comp45775_c1_seq1	Typhaang_comp45775_c1_seq2
257	0.0000	0.0000	0.3915	Typhaang_comp45776_c0_seq1	Typhaang_comp45776_c0_seq2
258	0.0000	0.0000	0.3180	Typhaang_comp45779_c0_seq1	Typhaang_comp45779_c0_seq2
259	0.0100	0.9355	0.0107	Typhaang_comp45784_c0_seq1	Typhaang_comp45784_c0_seq2
260	0.0089	0.0105	0.8470	Typhaang_comp45806_c1_seq2	Typhaang_comp45806_c1_seq3
261	0.0075	0.0088	0.8526	Typhaang_comp45806_c1_seq3	Typhaang_comp45806_c1_seq4
262	0.0044	0.0000	99.0000	Typhaang_comp45832_c0_seq5	Typhaang_comp45832_c0_seq6
